Frequency (Hz)	Level (dB)
0.366211	-73.323242
0.732422	-81.473213
1.098633	-82.861969
1.464844	-82.213120
1.831055	-81.776672
2.197266	-81.761330
2.563477	-80.493774
2.929688	-79.268417
3.295898	-78.355682
3.662109	-78.106087
4.028320	-77.851608
4.394531	-77.878860
4.760742	-77.779152
5.126953	-77.502571
5.493164	-76.525253
5.859375	-76.551033
6.225586	-76.196846
6.591797	-75.343140
6.958008	-75.025742
7.324219	-74.244469
7.690430	-76.675644
8.056641	-78.544189
8.422852	-77.787064
8.789062	-78.943306
9.155273	-79.059235
9.521484	-78.557938
9.887695	-78.334908
10.253906	-79.052925
10.620117	-82.508049
10.986328	-82.564987
11.352539	-83.426018
11.718750	-83.838661
12.084961	-82.516655
12.451172	-81.505539
12.817383	-81.873283
13.183594	-82.689125
13.549805	-81.436195
13.916016	-80.698349
14.282227	-81.694252
14.648438	-82.250389
15.014648	-84.295242
15.380859	-84.478172
15.747070	-83.845032
16.113281	-84.105873
16.479492	-83.002228
16.845703	-83.588898
17.211914	-84.074585
17.578125	-83.540901
17.944336	-83.726471
18.310547	-82.927536
18.676758	-82.388519
19.042969	-85.151802
19.409180	-85.571144
19.775391	-83.150970
20.141602	-83.691505
20.507812	-84.659462
20.874023	-83.291145
21.240234	-83.531685
21.606445	-82.860992
21.972656	-82.369209
22.338867	-81.885872
22.705078	-80.512794
23.071289	-80.136665
23.437500	-80.992783
23.803711	-81.488022
24.169922	-82.658913
24.536133	-80.614655
24.902344	-81.265221
25.268555	-80.834160
25.634766	-80.432747
26.000977	-83.308586
26.367188	-83.344330
26.733398	-85.264252
27.099609	-81.479851
27.465820	-81.106361
27.832031	-83.882690
28.198242	-81.389030
28.564453	-80.493050
28.930664	-84.059372
29.296875	-83.376778
29.663086	-84.101822
30.029297	-83.490532
30.395508	-84.448563
30.761719	-85.153900
31.127930	-83.089172
31.494141	-84.141800
31.860352	-86.225670
32.226562	-85.203842
32.592773	-85.253326
32.958984	-83.577927
33.325195	-83.254395
33.691406	-82.108803
34.057617	-81.309319
34.423828	-86.920715
34.790039	-84.584343
35.156250	-84.424271
35.522461	-83.740410
35.888672	-80.200920
36.254883	-77.468903
36.621094	-77.485291
36.987305	-79.111343
37.353516	-79.537781
37.719727	-80.481834
38.085938	-81.778633
38.452148	-82.704315
38.818359	-83.528778
39.184570	-80.812180
39.550781	-75.555870
39.916992	-77.028748
40.283203	-75.080673
40.649414	-74.996841
41.015625	-74.649673
41.381836	-75.592354
41.748047	-76.197403
42.114258	-75.068062
42.480469	-73.531685
42.846680	-71.152107
43.212891	-67.038704
43.579102	-66.027756
43.945312	-73.724098
44.311523	-65.270958
44.677734	-61.689434
45.043945	-59.641335
45.410156	-60.149647
45.776367	-58.447971
46.142578	-56.924706
46.508789	-60.704895
46.875000	-60.826756
47.241211	-57.800705
47.607422	-59.058422
47.973633	-64.476402
48.339844	-62.860558
48.706055	-58.314171
49.072266	-56.787216
49.438477	-57.582905
49.804688	-55.517441
50.170898	-54.502167
50.537109	-60.728813
50.903320	-67.278900
51.269531	-62.325684
51.635742	-60.654240
52.001953	-59.333778
52.368164	-63.182587
52.734375	-61.234543
53.100586	-59.319538
53.466797	-60.074200
53.833008	-59.307667
54.199219	-58.761166
54.565430	-62.980522
54.931641	-66.535973
55.297852	-69.604652
55.664062	-63.382969
56.030273	-61.804386
56.396484	-67.679871
56.762695	-71.820038
57.128906	-66.334839
57.495117	-65.132889
57.861328	-68.010567
58.227539	-67.076294
58.593750	-65.760170
58.959961	-68.022957
59.326172	-73.385567
59.692383	-70.715096
60.058594	-70.721405
60.424805	-73.317947
60.791016	-74.124535
61.157227	-73.581825
61.523438	-71.532799
61.889648	-72.386902
62.255859	-70.977432
62.622070	-67.094650
62.988281	-68.690277
63.354492	-70.398407
63.720703	-67.238541
64.086914	-67.620018
64.453125	-66.567146
64.819336	-66.835716
65.185547	-67.555870
65.551758	-66.434242
65.917969	-64.907059
66.284180	-63.484959
66.650391	-60.548267
67.016602	-64.962357
67.382812	-67.774788
67.749023	-64.985817
68.115234	-62.276085
68.481445	-60.019176
68.847656	-60.486095
69.213867	-60.342136
69.580078	-56.750214
69.946289	-57.120148
70.312500	-59.501011
70.678711	-57.975578
71.044922	-59.746922
71.411133	-60.702682
71.777344	-61.648636
72.143555	-54.410580
72.509766	-53.781593
72.875977	-54.845131
73.242188	-52.093918
73.608398	-49.470680
73.974609	-51.807957
74.340820	-56.086430
74.707031	-58.830086
75.073242	-54.255314
75.439453	-55.554386
75.805664	-59.083652
76.171875	-55.475842
76.538086	-57.737888
76.904297	-59.062790
77.270508	-55.915462
77.636719	-55.156242
78.002930	-55.930576
78.369141	-56.038052
78.735352	-58.775490
79.101562	-56.056797
79.467773	-57.604259
79.833984	-60.733421
80.200195	-57.704685
80.566406	-59.840904
80.932617	-61.418091
81.298828	-57.870663
81.665039	-56.962669
82.031250	-55.230690
82.397461	-55.276333
82.763672	-59.154095
83.129883	-60.255165
83.496094	-62.433331
83.862305	-64.855911
84.228516	-63.140240
84.594727	-62.781597
